# List of S-integral points (x,y) on the elliptic curve
# y^2 + y = x^3 - 6349808647*x + 193146346911036
# assuming that the Mordell-Weil rank is at most the analytic rank of this curve (as predicted by BSD), where
# S is the set of the first 7 primes.
# It contains 2316 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 1317329 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(49772290/1521,267921786718/59319)
(65846097/256,511203162279/4096)
(66141889/256,514849778721/4096)
(66591661/121,538004323255/1331)
(-23772519/676,339429345529/17576)
(67362154/225,534988241542/3375)
(67135918/121,544699762746/1331)
(102871654/2025,117890378542/91125)
(67768083,557875772033)
(70266654,589011306078)
(70965127/169,587746662677/2197)
(-24114122/729,377068933675/19683)
(103505889/1936,216862433649/85184)
(72348441/16,615285630051/64)
(-37356371/625,296112522242/15625)
(73443177/256,607307915829/4096)
(12319065/1156,442390881513/39304)
(47018249/1600,361615505307/64000)
(46311289/1600,370997642163/64000)
(75648441/400,606973790989/8000)
(74468539/81,640289154617/729)
(76472849/400,617970791257/8000)
(75317913/64,652191886275/512)
(-25009311/784,418381306895/21952)
(76130134,664254726806)
(-36975639/676,341182531249/17576)
(76481017/16,668760342125/64)
(-32376164/729,387487512469/19683)
(99062321/2401,138969048861/117649)
(-32887640/729,387606266236/19683)
(-33520586/729,387660892402/19683)
(121056583/2401,126960181809/117649)
(110511490/2601,31453309727/132651)
(-41550079/676,329393079835/17576)
(80144212/9,717448802741/27)
(80407692,721018123799)
(96476846/2401,199518287886/117649)
(128996608/2601,61454656241/132651)
(83702457/484,695572429559/10648)
(-51062191/625,201673872002/15625)
(69773266/2025,356020524314/91125)
(123420102/2401,188555750601/117649)
(84242503/441,714412369126/9261)
(94071049/1156,576718554887/39304)
(100792241/2500,204441053461/125000)
(48613609/1764,463177773127/74088)
(130786714/2601,132236044183/132651)
(93080247/2401,269438082801/117649)
(92355083/2401,283619340542/117649)
(88023067,825837438174)
(92792069/625,784836182997/15625)
(88228953/2401,361309101042/117649)
(81137977/2304,401874250861/110592)
(92335473/256,867210068361/4096)
(-55218797/729,304629071642/19683)
(93697294,906964766001)
(149408979/3025,17638691442/166375)
(102839529/1024,781207346827/32768)
(95794086,937579054950)
(96417049/256,927056684541/4096)
(101415857/784,860426906807/21952)
(-17437351/1156,664105065359/39304)
(-30807927/1024,619092648357/32768)
(95321362/2601,412279627375/132651)
(-65154563/729,134563532903/19683)
(124906697/1936,614446238875/85184)
(136515009/2401,469415544669/117649)
(71824201/2304,558395490491/110592)
(-32796959/1089,679071307501/35937)
(112586134/1089,910344941065/35937)
(107278236/625,1007812980984/15625)
(124887193/1764,735134656537/74088)
(110975561/484,1106143186569/10648)
(35164809/1936,779809168507/85184)
(-29420061/1225,780976575387/42875)
(119442691/1089,1026659801726/35937)
(118040521/3136,479845227525/175616)
(115854336/25,1246822541959/125)
(116747751/289,1238556420478/4913)
(153315247/2601,645247904075/132651)
(117015769/16,1265729532227/64)
(168642727/3969,58345690402/250047)
(121968674,1347014779538)
(167429053/3969,148315089203/250047)
(104036909/3025,653789968827/166375)
(125706358/81,1407582525889/729)
(126964073/484,1371016912377/10648)
(158252089/2500,837073852063/125000)
(-50782016/1225,841417010148/42875)
(163228006/3969,312592526567/250047)
(128432327/169,1447796180501/2197)
(157902782/2401,911228693201/117649)
(128878965,1463096517357)
(-68308778/1089,667156591817/35937)
(170509673/4096,255893803829/262144)
(169657665/4096,286889984543/262144)
(18441604/2025,1062980656192/91125)
(135660169/3600,586625546053/216000)
(132568165/81,1524590058853/729)
(159307702/3969,428917804426/250047)
(176747569/3025,773361795003/166375)
(133818260/49,1547355759321/343)
(167162281/4096,368536085525/262144)
(93614159/3025,852870588327/166375)
(136479473/4,1594409311125/8)
(143177137/1156,1420751256821/39304)
(143277721/1156,1422628131401/39304)
(-80719913/1089,575626734046/35937)
(137699209/256,1599019322843/4096)
(138224914/9,1625075932895/27)
(138797649/16,1635139860537/64)
(154525624/3969,555914719333/250047)
(-63937127/1296,917044249373/46656)
(142646977/16,1703635063425/64)
(144825759/121,1739116448851/1331)
(229227169/4624,137924779503/314432)
(180040649/2704,1138314706907/140608)
(29800115/2401,1268468832273/117649)
(162311899/4225,667290823393/274625)
(170566609/4356,612958856293/287496)
(144157309/3969,807562753075/250047)
(219152481/4096,671976887825/262144)
(82765313/3136,1164179261953/175616)
(166855249/1600,1650506816807/64000)
(60632953/2916,1318413056849/157464)
(248611449/4900,431897033457/343000)
(63966884/3025,1375272310848/166375)
(-71946143/1521,1167948453131/59319)
(164503729/36,2109589795853/216)
(-107895149/1225,356519538474/42875)
(166588090/441,2105689333042/9261)
(8040223/2401,1542594630942/117649)
