2: 1 + 1 = 2 (1.000): 1 + 1 = 2^1
2,3: 1 + 8 = 9 (1.226): 1 + 2^3 = 3^2
2,3,5,7,11,23: 529 + 101871 = 102400 (1.060): 23^2 + 3^3 7^3 11^1 = 2^12 5^2
2,3,5,7,11,23: 29440 + 88209 = 117649 (1.073): 2^8 5^1 23^1 + 3^6 11^2 = 7^6
2,3,5,7,11,23: 6655 + 386561 = 393216 (1.184): 5^1 11^3 + 7^5 23^1 = 2^17 3^1
2,3,5,7,11,23: 4508 + 1948617 = 1953125 (1.331): 2^2 7^2 23^1 + 3^11 11^1 = 5^9
2,3,5,7,11,23: 121 + 48234375 = 48234496 (1.626): 11^2 + 3^2 5^6 7^3 = 2^21 23^1
2,3,17,19,29: 7424 + 1586899 = 1594323 (1.306): 2^8 29^1 + 17^4 19^1 = 3^13
2,3,5,7,13,23: 1 + 76544 = 76545 (1.018): 1 + 2^8 13^1 23^1 = 3^7 5^1 7^1
2,3,5,7,13,23: 3125 + 114244 = 117369 (1.057): 5^5 + 2^2 13^4 = 3^6 7^1 23^1
2,3,5,7,13,23: 49 + 359375 = 359424 (1.158): 7^2 + 5^6 23^1 = 2^10 3^3 13^1
2,3,5,7,13,23: 117649 + 304175 = 421824 (1.172): 7^6 + 5^2 23^3 = 2^6 3^1 13^3
2,3,5,7,13,23: 62192 + 823543 = 885735 (1.240): 2^4 13^2 23^1 + 7^7 = 3^11 5^1
2,3,5,7,13,23: 156250 + 1113879 = 1270129 (1.272): 2^1 5^7 + 3^1 13^5 = 7^4 23^2
2,3,5,7,11,29: 87 + 102400 = 102487 (1.038): 3^1 29^1 + 2^12 5^2 = 7^1 11^4
2,3,5,7,11,29: 1152 + 170723 = 171875 (1.085): 2^7 3^2 + 7^1 29^3 = 5^6 11^1
2,3,5,7,11,29: 63423 + 171875 = 235298 (1.113): 3^7 29^1 + 5^6 11^1 = 2^1 7^6
2,3,5,7,11,29: 158949 + 161051 = 320000 (1.141): 3^3 7^1 29^2 + 11^5 = 2^9 5^4
2,3,5,7,17,19: 85 + 87723 = 87808 (1.023): 5^1 17^1 + 3^5 19^2 = 2^8 7^3
2,3,5,7,17,19: 35 + 93312 = 93347 (1.029): 5^1 7^1 + 2^7 3^6 = 17^3 19^1
2,3,5,7,17,19: 42875 + 73728 = 116603 (1.049): 5^3 7^3 + 2^13 3^2 = 17^1 19^3
