# List of S-integral points (x,y) on the Mordell curve
# y^2 = x^3 + 1632201497, of rank 8, where
# S is the set of the first 40 primes.
# It contains 1476 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 1208750 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(34,40401)
(-207077321/194481,1768193026804/85766121)
(-172081582/339889,7680725543705/198155287)
(323080348/301401,8855120677967/165469149)
(648354116/18769,16509237168163/2571353)
(101254936/616225,19569749736309/483736625)
(-267794903/379456,8365009974315/233744896)
(668818546/499849,22427998929867/353393243)
(336647923/123201,6419123589358/43243551)
(361320346/628849,21285334917033/498677257)
(336908714/337561,10051019724451/196122941)
(666555202/88209,17241460065161/26198073)
(690169318/71289,18147788895835/19034163)
(918644464/421201,29953597157571/273359449)
(741020144/15625,20171971403897/1953125)
(503233508/305809,13195460292925/169112377)
(1389190588/25921,51777973729467/4173281)
(-697069316/707281,15452738034141/594823321)
(1423295014/7225,53696062251963/614125)
(265887017/238144,6390715165781/116214272)
(276708641/238144,6575032569137/116214272)
(833689316/75625,24086336263511/20796875)
(752223074/180625,20862791473207/76765625)
(-328718317/279841,499183795282/148035889)
(355041367/221841,7910383587020/104487111)
(969079177/35344,30168664603941/6644672)
(580053403/4761,13970185231922/328509)
(-248368894/485809,13108031330873/338608873)
(-363873914/874225,32285696059041/817400375)
(1248862066/525625,46742111283261/381078125)
(220483489/318096,7953195318031/179406144)
(-269365031/331776,6329621406691/191102976)
(1783534876/46225,75323168330499/9938375)
(673954019/5041,17496273122186/357911)
(600434099/112225,14791083115882/37595375)
(797125186/363609,24186059398387/219256227)
(713884729/900,19074015821683/27000)
(708644143/13689,18864480843980/1601613)
(1181226073/92416,40613386590627/28094464)
(1982883142/11449,88296959514171/1225043)
(375793081/324900,10442623075021/185193000)
(-670645534/570025,823946446139/430368875)
(916562086/308025,28595322854459/170953875)
(-553601774/603729,13766074156297/469097433)
(66239441/409600,10604464587239/262144000)
(694296724/549081,24594366422449/406869021)
(1274703022/42849,45512111540249/8869743)
(1879466104/483025,82601182312317/335702375)
(-198198551/763876,26827782776811/667627624)
(-307494349/429025,9990808424726/281011375)
(2220908644/203401,104729284923609/91733851)
(828587513/55696,23856964936717/13144256)
(1313068244/116281,47607672946369/39651821)
(820763431/88209,23537834879248/26198073)
(-671913784/714025,17053646542889/603351125)
