/** 
 * List of all reduced triples (y, x, a) of rational integers satisfying the 
 * Mordell equation    y^2 = x^3 + a    with c(a)<=185 and y>=0.
 * Here, c(a) is the multiplicative function that sends a prime power p^k to p^(min(2,k)).
 * This list contains 557 triples in total.
 * We do not list the only reduced solution for a=0, 1^2 = -1^3 + 0, since c(0) is not defined. 
 *
 * Format: "c(a): y^2 = x^3 + a" (without danger we omit the paranthesis around negative x). 
 * Authors: Rafael von Känel and Benjamin Matschke, 2014
 * License: Creative commons 3.0 by-nc.
156: 34^2 = 10^3 + 156
156: 3197^2 = 217^3 + 2496
159: 29^2 = 10^3 + -159
161: 6^2 = -5^3 + 161
161: 13^2 = 2^3 + 161
161: 15^2 = 4^3 + 161
161: 2619^2 = 190^3 + 161
163: 190^2 = 33^3 + 163
164: 10^2 = -4^3 + 164
164: 12^2 = -8^3 + 656
164: 17^2 = 5^3 + 164
164: 26^2 = 8^3 + 164
164: 157^2 = -39^3 + 83968
164: 193^2 = 33^3 + 1312
164: 716^2 = 80^3 + 656
164: 135109^2 = 2633^3 + 671744
167: 7^2 = 6^3 + -167
169: 14^2 = 3^3 + 169
169: 689^2 = 78^3 + 169
170: 13^2 = -1^3 + 170
170: 453^2 = 59^3 + -170
171: 1^2 = -8^3 + 513
171: 12^2 = -3^3 + 171
171: 27^2 = 6^3 + 513
171: 30^2 = 9^3 + 171
171: 163^2 = 28^3 + 4617
171: 197^2 = -14^3 + 41553
171: 406^2 = 55^3 + -1539
171: 620^2 = 73^3 + -4617
171: 710^2 = 157^3 + -3365793
171: 4141^2 = -236^3 + 30292137
171: 25309^2 = 862^3 + 41553
171: 28682^2 = 937^3 + 171
171: 887041^2 = 9232^3 + 513
172: 1^2 = -7^3 + 344
172: 45^2 = 13^3 + -172
172: 54^2 = 14^3 + 172
172: 59^2 = 9^3 + 2752
172: 65^2 = 17^3 + -688
172: 345^2 = 49^3 + 1376
172: 37283^2 = 1113^3 + 11272192
172: 3188879^2 = 21665^3 + 22016
174: 7^2 = -5^3 + 174
174: 13^2 = 7^3 + -174
174: 22585^2 = 799^3 + -174
174: 376601^2 = 5215^3 + -174
175: 34^2 = 11^3 + -175
175: 50^2 = 15^3 + -875
175: 4964^2 = 291^3 + -875
177: 13^2 = -2^3 + 177
180: 3^2 = 9^3 + -720
180: 6^2 = 6^3 + -180
180: 12^2 = -6^3 + 360
180: 17^2 = -11^3 + 1620
180: 18^2 = -6^3 + 540
180: 19^2 = 1^3 + 360
180: 24^2 = 6^3 + 360
180: 28^2 = 4^3 + 720
180: 33^2 = 9^3 + 360
180: 36^2 = 6^3 + 1080
180: 44^2 = 16^3 + -2160
180: 46^2 = -14^3 + 4860
180: 63^2 = 9^3 + 3240
180: 99^2 = -39^3 + 69120
180: 99^2 = 21^3 + 540
180: 108^2 = 24^3 + -2160
180: 117^2 = 9^3 + 12960
180: 161^2 = 1^3 + 25920
180: 172^2 = 34^3 + -9720
180: 208^2 = 94^3 + -787320
180: 296^2 = 46^3 + -9720
180: 327^2 = -111^3 + 1474560
180: 573^2 = 69^3 + -180
180: 658^2 = 34^3 + 393660
180: 711^2 = 81^3 + -25920
180: 721^2 = -239^3 + 14171760
180: 1473^2 = 129^3 + 23040
180: 1837^2 = -71^3 + 3732480
180: 2177^2 = 169^3 + -87480
180: 2492^2 = 184^3 + -19440
180: 2629^2 = 241^3 + -7085880
180: 5751^2 = 321^3 + -2160
180: 6436^2 = 346^3 + 360
180: 9171^2 = 441^3 + -1658880
180: 10549^2 = 481^3 + -3240
180: 16523^2 = 649^3 + -349920
180: 22671^2 = 801^3 + 51840
180: 54701^2 = 1441^3 + -9720
180: 162467^2 = 3289^3 + -9183300480
180: 238049^2 = 3841^3 + -25920
180: 522717^2 = 6489^3 + -46080
180: 720559^2 = 5281^3 + 371923669440
180: 2867223^2 = 22449^3 + -3092376453120
180: 33384799^2 = 103681^3 + -699840
185: 11^2 = -4^3 + 185
