# Lists of S-integral points (x,y) on the Mordell curves
# y^2 = x^3 + a, with the following constraints:
# we consider only curves of rank r = 2,
# a is bounded by |a| <= 10000,
# S is the set of the first 300 primes.
# It contains 3426 curves in total.
# It contains 37852 points in total.
# For each point P, only one of +P, -P is listed.
# Format of the points: "(P(x),P(y))".
# Computing this list took 559268 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
# a = -9989:
#
(20429741454033259/151274133416025,2914329413260747643055902/1860574269201054163875)
(2007828379824136764346729/91982039142457452038400,745369099108075128023123739831467317/27896810336219246646675941134848000)
#
# a = -9682:
#
(737/16,18991/64)
#
# a = -9672:
#
(82,736)
(261394/225,133641728/3375)
(1639777/10816,2096880239/1124864)
(3222313/135424,3071901013/49836032)
(17603977/341056,71216368859/199176704)
(73212254482/2519136481,15420705406474304/126437979117871)
(1766840957539954/62133096827025,56529722023986995391392/489761339749667346375)
(291799072250051469481/1004631269783961600,4983565053500532244081688852629/1006954941725721111822336000)
#
# a = -9659:
#
(25065/1024,2318603/32768)
(52095/2401,2772554/117649)
(263455/1089,135179702/35937)
(10293221840046081/323802030250000,873297713835111762121729/5826655633333625000000)
(63083085433726983465/73826482778725264,501032650578749237291335953323/20059415193140412869217088)
(4843836322656014993065/79599591783715150224,329815402937182514945264277947797/710176440378521322370926514368)
#
# a = -9656:
#
(217/9,1783/27)
(2990/49,159984/343)
(206738/1681,93756276/68921)
(5129474/157609,9856974780/62570773)
(14437466785/114447204,1730571357793679/1224356188392)
(1108033122686/45665553025,663964577319992184/9758500353677375)
(743742752545/34837475904,56065165795734479/6502345202529792)
(13771248370369/20100717729,51103829580913527875/2849819457464433)
#
# a = -9651:
#
(7105/324,174401/5832)
(4088875/33489,8246151316/6128487)
(3630895/127449,5280925474/45499293)
(21206176077206785/39418758606096,3088019855365952914733183/247488153107822945856)
(291378517377913292593149625/9108875588026223053302336,4176654312887394506334422283794235640237/27491418908798672984900486191732348416)
#
# a = -9643:
#
(2873/64,145555/512)
(50516609/144400,359006550977/54872000)
(54575417/512656,401562367085/367061696)
(126230855491169/5423682054400,687677822976377048303/12631104662851072000)
(409787170378297/15492379393296,5740848173179079691245/60978563017671214656)
(611067056678881/28256666490000,3258265986997049224529/150203962060893000000)
#
# a = -9622:
#
(361/16,2763/64)
(12871/25,1460169/125)
(503719/23409,66196511/3581577)
(5492191/184041,10280417003/78953589)
(14533843033/54287424,1751708284380253/399989740032)
(561764860681561930155697/410310898428912757956,421047449238800554716584711638337111/8311311869788438266622855603896)
#
# a = -9601:
#
(353/16,2159/64)
(299188805/797449,5174620779626/712121957)
(3748115053/168194961,83497366089314/2181320449209)
(126583168385/298321984,45033598490696639/5152617307648)
#
# a = -9590:
#
(39,223)
(5305521/198916,8594385239/88716536)
(279600659361/7597562896,132862627201945871/662233972266944)
(1037452323601/1298160900,1056691323893185849/46772737227000)
#
# a = -9587:
#
(3153/16,176935/64)
(2529/100,81167/1000)
(1069297/49284,273867625/10941048)
(79876977/1532644,689294342615/1897413272)
(27352963709948107681/126337231051460100,142988582973395099627391412079/44905240972943141699349000)
(11124583307440047707656129/14785885249297850250000,37104000822689352185196716170107468383/1797922622875994413514481375000000)
#
# a = -9580:
#
(809/4,22997/8)
(44489/1024,8818693/32768)
(800609/5476,715260143/405224)
(1815310849/77264100,39539192635007/679151439000)
(432313492001/8461792144,273848269078641841/778383335742272)
(9573428280649/1471796496,29621102885450848837/56464000772544)
(7578583979032811681/318543242150907904,11208289578131615286935076239/179784643824225054505566208)
(420924149365934274497921/11206022268688589354896,247178485446461911675588666835250241/1186252721373780956978776225098944)
#
# a = -9579:
#
(9367/441,17702/9261)
(2120875/21609,3072991328/3176523)
(226185649/5731236,3125437277815/13720578984)
(3581516940913/93720475044,6168927289788524969/28691398789020072)
(69262374550543945/552768458256,18228295689108172186575419/410974504418003904)
#
# a = -9574:
#
(47,307)
(215,3151)
(4817/196,199207/2744)
(23281/144,3548215/1728)
(8479505/376996,9834104519/231475544)
(728178631/19316025,17807661730529/84893929875)
(2153217905/39715204,96867564303817/250285215608)
(6339525095/272679169,246317307036247/4502751117697)
(30320027071/1393006329,1412095422642605/51991175217267)
(539431873247/58967041,396191271299948587/452807907839)
(11426981444981551/85364793840249,1219070459052527310474965/788711537281769467443)
(12405392165443606577/291275716527719716,40896417926858008584016247273/157201403428612412134178264)
#
# a = -9572:
#
(42,254)
(395493/16129,147302507/2048383)
(1671369/61504,1562678651/15252992)
(63417354/124609,505005848674/43986977)
(235685482/6671889,3201398969390/17233489287)
(277539013117/3440174409,144874207987666415/201776549611077)
