# List of all S-integral points on all rational elliptic curves (using Cremona's database) up to conductor 100,
# where S is the set of the first 10000 primes.
# It contains 1724 points in total.
# Format: "(x,y)".
# Computing this list took 121892 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
# a-invariants: (0, -1, 1, -10, -20)
# Cremona label: 11a1
#
(46970/58081,-24308900/13997521)
(46970/58081,-1008391/13997521)
(65311/592900,-502342569/456533000)
(65311/592900,-4479901/456533000)
(6659730/73441,-18028053441/19902511)
(6659730/73441,16203364100/19902511)
(-7406159/74805201,-7841148688/646990183449)
(-7406159/74805201,-575093165570/646990183449)
(923436432/746874241,-48737159360721/20411326132289)
(923436432/746874241,3089238978304/20411326132289)
(17805417409/11399405824,-3671324176651209/1217091761016832)
(17805417409/11399405824,553183609710265/1217091761016832)
(-79079320720/424479613441,-210043274426511616/276557382228693761)
(-79079320720/424479613441,-14992269687367025/276557382228693761)
(12004801505489/548584642225,-45546704121221417218/406317444033579625)
(12004801505489/548584642225,36248850370124827408/406317444033579625)
(79473427085170/339510437304481,-7501163916104104007684/6255754471278841750129)
(79473427085170/339510437304481,-218952743221506894975/6255754471278841750129)
(7354163999674719/11513311030809604,-1906494606001685862679789/1235379401910351528541192)
(7354163999674719/11513311030809604,-117987313781834982683865/1235379401910351528541192)
(602535402695121562/159299161944786081,276954824609623317112105636/63579957979196397503888271)
(602535402695121562/159299161944786081,-581020514695886093550025849/63579957979196397503888271)
(1966855766819785991074981801/86057425487806652104339321,76306640116537686756954186493213419910818/798330137046059985476921676270861438131)
(1966855766819785991074981801/86057425487806652104339321,-95350928983752272119794412767585224782360/798330137046059985476921676270861438131)
(-206800685993748397460418150533854751/2006085961301030988004495735042350625,-2510749323938238441000424257387809999916319657953497632/2841347214716916933677217043529395165633881026937640625)
(-206800685993748397460418150533854751/2006085961301030988004495735042350625,-37692918367223951327925249504634192121101680493110018/2841347214716916933677217043529395165633881026937640625)
#
# a-invariants: (1, -1, 0, 12, 8)
# Cremona label: 54a1
#
(1,-5)
(1,4)
#
# a-invariants: (1, -1, 0, -123, -667)
# Cremona label: 54a2
#
#
# a-invariants: (1, -1, 0, -3, 3)
# Cremona label: 54a3
#
(1,0)
(1,-1)
#
# a-invariants: (1, -1, 1, 1, -1)
# Cremona label: 54b1
#
(1,0)
(1,-2)
#
# a-invariants: (1, -1, 1, -29, -53)
# Cremona label: 54b2
#
#
# a-invariants: (1, -1, 1, -14, 29)
# Cremona label: 54b3
#
(9,19)
(9,-29)
(1,3)
(3,1)
(-3,7)
(-3,-5)
(1,-5)
(3,-5)
#
# a-invariants: (1, -1, 0, -4, 3)
# Cremona label: 55a1
#
(2,-1)
(3/4,-3/8)
(-2,1)
#
# a-invariants: (1, -1, 0, -29, -52)
# Cremona label: 55a2
#
(-13/4,13/8)
#
# a-invariants: (1, -1, 0, -59, 190)
# Cremona label: 55a3
#
(19/4,-19/8)
(6,-8)
(6,2)
#
# a-invariants: (1, -1, 0, 1, 0)
# Cremona label: 55a4
#
(0,0)
#
# a-invariants: (0, 0, 0, 1, 2)
# Cremona label: 56a1
#
(-1,0)
(1,-2)
(1,2)
#
# a-invariants: (0, 0, 0, -19, 30)
# Cremona label: 56a2
#
(-5,0)
(2,0)
(3,0)
#
# a-invariants: (0, 0, 0, -59, -138)
# Cremona label: 56a3
#
(-6,0)
#
# a-invariants: (0, 0, 0, -299, 1990)
# Cremona label: 56a4
#
(10,0)
#
# a-invariants: (0, -1, 0, 0, -4)
# Cremona label: 56b1
#
(2,0)
#
# a-invariants: (0, -1, 0, -40, -84)
# Cremona label: 56b2
#
(-3,0)
#
# a-invariants: (0, -1, 1, -2, 2)
# Cremona label: 57a1
#
(2,-2)
(2,1)
(1,-1)
(1,0)
(-1,-2)
(-1,1)
(0,1)
(0,-2)
(5/4,-7/8)
(5/4,-1/8)
(4,6)
(4,-7)
(11,34)
(11,-35)
(13/9,-28/27)
(13/9,1/27)
(14/25,62/125)
(14/25,-187/125)
(-23/16,-51/64)
(-23/16,-13/64)
(86/121,-1765/1331)
(86/121,434/1331)
(261/169,-2588/2197)
(261/169,391/2197)
(995/49,30358/343)
(995/49,-30701/343)
(1660/529,44122/12167)
(1660/529,-56289/12167)
(8789/7396,-80647/636056)
(8789/7396,-555409/636056)
(-1976/7569,750007/658503)
(-1976/7569,-1408510/658503)
(-29113/39601,9205279/7880599)
(-29113/39601,-17085878/7880599)
(185449/172225,-66516807/71473375)
(185449/172225,-4956568/71473375)
(1466042/638401,-1336363406/510082399)
(1466042/638401,826281007/510082399)
(3369249/23104,6161143535/3511808)
(3369249/23104,-6164655343/3511808)
(30917834/17297281,42537929839/71939391679)
(30917834/17297281,-114477321518/71939391679)
(59125465/65011969,50754531736/524191506047)
(59125465/65011969,-574946037783/524191506047)
(-355566985/290600209,-8271524414726/4953861762823)
(-355566985/290600209,3317662651903/4953861762823)
(351036856/1499780529,47572690072103/58082000546583)
(351036856/1499780529,-105654690618686/58082000546583)
(31724764661/24138593956,-3395325289400641/3750316788567896)
(31724764661/24138593956,-354991499167255/3750316788567896)
(109736172172/20297985841,30262252537938266/2891874340753111)
(109736172172/20297985841,-33154126878691377/2891874340753111)
(1383166935539/198038350225,1431167787573977062/88130036425378375)
(1383166935539/198038350225,-1519297823999355437/88130036425378375)
(7272581243733/5333573159209,-666269405018677033/12317636533254702677)
(7272581243733/5333573159209,-11651367128236025644/12317636533254702677)
(-248466586120151/185227853704336,878209487167247182317/2520922193370835083584)
(-248466586120151/185227853704336,-3399131680538082265901/2520922193370835083584)
(59000748635295805/35265451793778441,2566849355044017277541777/6622533717230959544483739)
(59000748635295805/35265451793778441,-9189383072274976822025516/6622533717230959544483739)
(1022898683763443579/20193751730487841,-1025317728797554957955893667/2869627455604241839197361)
