# List of all rational elliptic curves with good reduction outside S, up to Q-isomorphisms,
# for all sets S = {2, p},
# where p ranges over all other primes less or equal to 250.
# It contains 9416 pairs (c4,c6), some of which may appear for more than one S.
# Format: "(c4,c6)".
# Computing this list took 1490 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
#
# S = {2, 3}:
#
(336,-6048)
(6832,564704)
(112,224)
(6832,-564704)
(336,6048)
(480,-10368)
(480,10368)
(928,-28160)
(928,28160)
(192,0)
(240,-1728)
(240,1728)
(448,-8704)
(448,8704)
(14352,1719360)
(14352,-1719360)
(336,0)
(352,512)
(400,4544)
(6304,-500480)
(352,-512)
(6304,500480)
(131065,47449331)
(400,-4544)
(384,0)
(2112,96768)
(640,14336)
(2112,-96768)
(640,-14336)
(784,-20384)
(784,20384)
(1344,-48384)
(448,-1792)
(27328,-4517632)
(27328,4517632)
(1344,48384)
(912,25920)
(912,-25920)
(448,1792)
(1936,84160)
(1936,-84160)
(1920,82944)
(1920,-82944)
(672,0)
(3472,-203840)
(3472,203840)
(3712,225280)
(3712,-225280)
(960,-13824)
(960,13824)
(8080,725824)
(57408,13754880)
(57408,-13754880)
(1705,57707)
(1696,-52480)
(1696,52480)
(1344,0)
(28560,-4826304)
(25216,4003840)
(1408,4096)
(25216,-4003840)
(1600,36352)
(1600,-36352)
(1408,-4096)
(3136,163072)
(3136,-163072)
(3648,207360)
(3648,-207360)
(2832,-119232)
(2832,119232)
(7744,-673280)
(7744,673280)
(2352,0)
(13888,-1630720)
(2688,0)
(13888,1630720)
(24745,3889963)
(5488,373184)
(5488,-373184)
(32320,-5806592)
(32320,5806592)
(87465,-25865973)
(4704,0)
(25872,-4148928)
(7840,614656)
(25872,4148928)
(7840,-614656)
(6784,419840)
(6784,-419840)
(114240,-38610432)
(114240,38610432)
(16464,-2074464)
(16464,2074464)
(334768,193693472)
(334768,-193693472)
(5488,-76832)
(5488,76832)
(2097040,-3036757184)
(23520,-3556224)
(23520,3556224)
(11328,953856)
(11328,-953856)
(45472,9658880)
(45472,-9658880)
(9408,0)
(11760,592704)
(11760,-592704)
(21952,2985472)
(21952,-2985472)
(703248,589740480)
(703248,-589740480)
(16464,0)
(19600,1558592)
(308896,-171664640)
(17248,175616)
(6422185,-16275120533)
(19600,-1558592)
(17248,-175616)
(308896,171664640)
(31360,-4917248)
(27280,-3693248)
(18816,0)
(103488,-33191424)
(31360,4917248)
(103488,33191424)
(38416,6991712)
(38416,-6991712)
(1339072,1549547776)
(21952,614656)
(65856,16595712)
(44688,-8890560)
(44688,8890560)
(1339072,-1549547776)
(65856,-16595712)
(21952,-614656)
(8388160,24294057472)
(8388160,-24294057472)
(94864,28866880)
(94864,-28866880)
(94080,-28449792)
(94080,28449792)
(170128,-69917120)
(32928,0)
(170128,69917120)
(181888,77271040)
(181888,-77271040)
(47040,-4741632)
(395920,-248957632)
(47040,4741632)
(2812992,4717923840)
(2812992,-4717923840)
(83545,-19793501)
(83104,-18000640)
(83104,18000640)
(1399440,1655422272)
(65856,0)
(78400,-12468736)
(68992,-1404928)
(78400,12468736)
(1235584,1373317120)
(1235584,-1373317120)
(68992,1404928)
(109120,29545984)
(109120,-29545984)
(153664,-55933696)
(153664,55933696)
(178752,71124480)
(178752,-71124480)
(138768,40896576)
(138768,-40896576)
(379456,230935040)
(379456,-230935040)
(680512,-559336960)
(131712,0)
(680512,559336960)
(1583680,1991661056)
(1583680,-1991661056)
(332416,144005120)
(332416,-144005120)
(5597760,13243378176)
(5597760,-13243378176)
(102754960,1041607714112)
(555072,327172608)
(555072,-327172608)
(1336720,1266784064)
(411019840,-8332861712896)
(411019840,8332861712896)
(5346880,10134272512)
(5346880,-10134272512)
#
# S = {2, 11}:
#
(19336768,87338132992)
(19336768,-87338132992)
(937024,3545698816)
(937024,-3545698816)
(4834192,-10917266624)
(960256,1704361472)
(-1107392,-442275328)
(-1107392,442275328)
(5622144,-13358214144)
(5622144,13358214144)
(234256,443212352)
(-511104,0)
(11159104,37278562816)
(11159104,-37278562816)
(-340736,164916224)
(-340736,-164916224)
(1796608,2421951488)
(1796608,-2421951488)
(240064,-213045184)
(240064,213045184)
(255552,202397184)
(-276848,-55284416)
(255552,-202397184)
(-46464,128798208)
(681472,-577206784)
(-255552,0)
(-46464,-128798208)
(1405536,1669776768)
(1405536,-1669776768)
(170368,104946688)
(170368,-104946688)
(23232,55199232)
(23232,-55199232)
(-127776,0)
(302137,170582291)
(-85184,29984768)
(-85184,-29984768)
(2789776,4659820352)
(-85184,20614528)
